"","O","NA.","NA..1","elev"
"128",-16.7310009002686,-117.37502505,50.54161045,721
"129",-17.8715991973877,-117.29169175,50.54161045,1735.13781738281
"130",-17.6019992828369,-117.20835845,50.54161045,1064.35925292969
"131",-18.4449005126953,-117.12502515,50.54161045,2327.46630859375
"132",-17.0638999938965,-117.04169185,50.54161045,1852.29357910156
"133",-17.5874004364014,-116.95835855,50.54161045,927.536071777344
"134",-18.354700088501,-116.87502525,50.54161045,1600.37878417969
"135",-18.0415992736816,-116.79169195,50.54161045,1750.8935546875
"136",-19.3920001983643,-116.70835865,50.54161045,2405.00390625
"137",-19.630500793457,-116.62502535,50.54161045,2398.33325195312
"138",-18.9683990478516,-116.54169205,50.54161045,1976.71545410156
"139",-19.058500289917,-116.45835875,50.54161045,2246.40454101562
"140",-18.7474002838135,-116.37502545,50.54161045,1629.44555664062
"141",-18.4855995178223,-116.29169215,50.54161045,1853.85363769531
"142",-17.9125003814697,-116.20835885,50.54161045,1500.05688476562
"143",-17.0587005615234,-116.12502555,50.54161045,988.163940429688
"144",-17.0181999206543,-116.04169225,50.54161045,801.935180664062
"145",-14.7769002914429,-117.95835815,50.45827715,445.117523193359
"146",-15.3575000762939,-117.87502485,50.45827715,495.204803466797
"147",-16.8096008300781,-117.79169155,50.45827715,1680.60803222656
"148",-17.2171993255615,-117.70835825,50.45827715,1407.07678222656
"149",-17.2572994232178,-117.62502495,50.45827715,1391.37280273438
"150",-17.964599609375,-117.54169165,50.45827715,1709.42736816406
"151",-17.9913997650146,-117.45835835,50.45827715,1471.44885253906
"152",-17.7329998016357,-117.37502505,50.45827715,1278.82885742188
"153",-17.0655994415283,-117.29169175,50.45827715,1976.21057128906
"154",-16.7880992889404,-117.20835845,50.45827715,895.721496582031
"155",-17.9004001617432,-117.12502515,50.45827715,2062.83447265625
